Z,mus,mup,mum,phis,phip,phim
0.7439,0.018812743450966,-6.33376928991761,-5.63753016427468,0.950433369807472,0.00175035180938728,0.00352211821607009
0.7441,0.0188127508686241,-6.33376928877789,-5.63753016366429,0.950488673928264,0.00174977296252544,0.00351945681432103
0.7443,0.0188127579993955,-6.33376928792702,-5.63753016338341,0.950536135148353,0.00174927304084558,0.0035171699166131
0.7445,0.0188127649178014,-6.33376928729032,-5.6375301633434,0.950576859334614,0.0017488417571907,0.00351520549376779
0.7447,0.0188127716793933,-6.33376928681339,-5.63753016347995,0.950611798173713,0.00174847003797021,0.00351351856682968
0.7449,0.0188127783254512,-6.33376928645467,-5.63753016374551,0.950641770206531,0.00174814991556339,0.00351207029873041
0.7451,0.0188127848865644,-6.33376928618298,-5.63753016410611,0.950667479115085,0.00174787441941631,0.00351082719041948
0.7453,0.0188127913853699,-6.333769285976,-5.63753016453615,0.950689529588108,0.00174763747017308,0.00350976037292485
0.7455,0.0188127978385684,-6.33376928581628,-5.63753016501707,0.950708441061737,0.00174743377954498,0.00350884498643625
0.7457,0.0188128042584934,-6.33376928569228,-5.63753016553561,0.950724659602111,0.00174725875747343,0.00350805963758661
0.7459,0.0188128106541611,-6.33376928559418,-5.63753016608153,0.950738568168004,0.00174710842733417,0.00350738592646215
0.7461,0.018812817032231,-6.33376928551535,-5.6375301666478,0.950750495464704,0.00174697934937163,0.00350680803539291
0.7463,0.0188128233975608,-6.33376928545042,-5.63753016722883,0.950760723575372,0.0017468685521865,0.00350631237219631
0.7465,0.01881282975372,-6.33376928539609,-5.63753016782066,0.950769494533473,0.00174677347187378,0.00350588726121146
0.7467,0.0188128361032926,-6.33376928534921,-5.63753016842051,0.950777015979336,0.00174669189827345,0.00350552267612411
0.7469,0.0188128424481585,-6.33376928530799,-5.63753016902631,0.950783466025649,0.00174662192772895,0.00350521000922483
0.7471,0.0188128487896919,-6.33376928527069,-5.63753016963637,0.950788997440423,0.00174656192173217,0.00350494187235187
0.7473,0.0188128551288873,-6.33376928523683,-5.63753017024967,0.950793741241636,0.00174651047083335,0.0035047119253217
0.7475,0.018812861466453,-6.33376928520504,-5.63753017086521,0.950797809785176,0.00174646636324082,0.00350451472817707
0.7477,0.0188128678029002,-6.33376928517484,-5.63753017148274,0.950801299416672,0.00174642855755395,0.00350434561402395
0.7479,0.0188128741385923,-6.33376928514559,-5.63753017210135,0.950804292748205,0.00174639615914045,0.00350420057966023
0.7481,0.0188128804738031,-6.33376928511743,-5.63753017272102,0.950806860612497,0.00174636839969473,0.00350407619154525
0.7483,0.0188128868086896,-6.33376928508981,-5.63753017334139,0.950809063739955,0.00174634461958026,0.0035039695049989
0.7485,0.0188128931433899,-6.33376928506215,-5.63753017396233,0.950810954197619,0.00174632425259347,0.00350387799479325
0.7487,0.018812899477997,-6.33376928503547,-5.63753017458359,0.950812576623645,0.00174630681282365,0.00350379949554316
0.7489,0.0188129058125646,-6.3337692850087,-5.6375301752052,0.950813969286247,0.0017462918833411,0.00350373215053614
0.7491,0.0188129121471191,-6.33376928498254,-5.63753017582692,0.950815164991953,0.00174627910645351,0.00350367436780504
0.7493,0.0188129184817001,-6.33376928495631,-5.63753017644879,0.950816191864564,0.00174626817533213,0.00350362478243874
0.7495,0.0188129248163358,-6.3337692849304,-5.63753017707087,0.95081707401315,0.001746258826804,0.00350358222423639
0.7497,0.0188129311510045,-6.33376928490468,-5.63753017769304,0.95081783210487,0.00174625083516121,0.00350354568996152
0.7499,0.0188129374857187,-6.33376928487878,-5.63753017831522,0.950818483856133,0.00174624400684558,0.00350351431954463
0.7501,0.018812943820481,-6.33376928485269,-5.63753017893747,0.950819044453737,0.00174623817587805,0.00350348737566679
0.7503,0.01881295015529,-6.33376928482721,-5.63753017955968,0.950819526915932,0.0017462331999371,0.00350346422625226
0.7505,0.0188129564901427,-6.33376928480117,-5.63753018018199,0.950819942401988,0.00174622895699559,0.00350344432945791
0.7507,0.0188129628250242,-6.33376928477508,-5.63753018080445,0.950820300477591,0.00174622534242724,0.00350342722079472
0.7509,0.018812969159956,-6.33376928474935,-5.63753018142684,0.950820609342362,0.00174622226653267,0.00350341250209317
0.7511,0.0188129754949031,-6.33376928472367,-5.63753018204926,0.95082087602491,0.00174621965240832,0.00350339983203422
0.7513,0.0188129818298915,-6.33376928469833,-5.63753018267175,0.950821106550045,0.00174621743412679,0.00350338891803839
0.7515,0.0188129881648976,-6.33376928467248,-5.63753018329405,0.950821306082113,0.00174621555516922,0.0035033795093057
0.7517,0.0188129944999229,-6.33376928464695,-5.6375301839165,0.950821479047878,0.00174621396708248,0.00350337139085007
0.7519,0.0188130008349688,-6.33376928462157,-5.63753018453906,0.95082162924185,0.0017462126283316,0.00350336437838877
0.7521,0.0188130071700265,-6.33376928459594,-5.63753018516142,0.950821759916585,0.00174621150331144,0.00350335831395729
0.7523,0.0188130135051086,-6.33376928457026,-5.63753018578403,0.950821873860077,0.00174621056149972,0.00350335306215063
0.7525,0.018813019840203,-6.3337692845448,-5.63753018640656,0.950821973462111,0.00174620977673189,0.00350334850690207
0.7527,0.0188130261753058,-6.33376928451901,-5.63753018702902,0.950822060771136,0.00174620912658037,0.00350334454872279
0.7529,0.0188130325104148,-6.33376928449329,-5.6375301876515,0.950822137543013,0.00174620859181908,0.00350334110233251
