Z,mus,mup,mum,Fs,Fp,Fm,phis,phip,phim
0.058,-1.09611797334278e-05,-9.2096662552781,-9.21035863233897,-1.14518178658818e-05,-9.20965666902758,-9.21035869608947,0.87090922584886,1.85464508981851e-06,0.00496674175512674
0.059,-1.09502503966192e-05,-9.20966625363588,-9.21035863452075,-1.14419685213196e-05,-9.20965666835268,-9.21035869882713,0.870911164063493,1.85467573454734e-06,0.00496666723669753
0.06,-1.09391261156961e-05,-9.20966625196438,-9.21035863674144,-1.14319426012532e-05,-9.20965666766429,-9.21035870161256,0.870913136560525,1.8547069222368e-06,0.00496659140021573
0.061,-1.0927806480255e-05,-9.20966625026357,-9.21035863900112,-1.14217396890159e-05,-9.20965666696236,-9.2103587044458,0.870915143397705,1.85473865384887e-06,0.00496651424346103
0.062,-1.09162910725317e-05,-9.20966624853336,-9.21035864129989,-1.1411359361585e-05,-9.20965666624677,-9.21035870732691,0.870917184633694,1.85477093036086e-06,0.00496643576417827
0.063,-1.09045794664496e-05,-9.20966624677372,-9.21035864363783,-1.14008011887767e-05,-9.20965666551745,-9.21035871025593,0.870919260328052,1.85480375276541e-06,0.00496635596007747
0.064,-1.08926712314513e-05,-9.20966624498462,-9.21035864601501,-1.1390064733191e-05,-9.20965666477428,-9.21035871323292,0.870921370541244,1.85483712207027e-06,0.00496627482883407
0.065,-1.08805659297415e-05,-9.20966624316597,-9.21035864843153,-1.13791495511828e-05,-9.2096566640172,-9.21035871625793,0.870923515334629,1.8548710392984e-06,0.00496619236808899
0.066,-1.08682631132732e-05,-9.20966624131776,-9.21035865088749,-1.13680551917239e-05,-9.2096566632461,-9.21035871933101,0.870925694770463,1.85490550548801e-06,0.00496610857544878
0.067,-1.08557623339445e-05,-9.20966623943988,-9.21035865338296,-1.13567811970694e-05,-9.20965666246087,-9.2103587224522,0.87092790891189,1.85494052169226e-06,0.00496602344848578
0.068,-1.08430631307882e-05,-9.20966623753231,-9.21035865591804,-1.13453271026742e-05,-9.20965666166142,-9.21035872562158,0.870930157822942,1.85497608897938e-06,0.0049659369847382
0.069,-1.08301650391768e-05,-9.20966623559501,-9.21035865849283,-1.13336924370266e-05,-9.20965666084766,-9.21035872883918,0.870932441568535,1.85501220843255e-06,0.00496584918171029
0.07,-1.0817067589038e-05,-9.20966623362787,-9.21035866110741,-1.13218767218426e-05,-9.20965666001947,-9.21035873210506,0.870934760214463,1.85504888114999e-06,0.00496576003687249
0.071,-1.08037702984379e-05,-9.2096662316309,-9.21035866376188,-1.13098794719269e-05,-9.20965665917676,-9.21035873541928,0.870937113827399,1.85508610824471e-06,0.0049656695476615
0.072,-1.07902726848e-05,-9.20966622960399,-9.21035866645635,-1.12977001951453e-05,-9.20965665831942,-9.2103587387819,0.870939502474887,1.85512389084465e-06,0.00496557771148053
0.073,-1.07765742532983e-05,-9.20966622754711,-9.2103586691909,-1.1285338392758e-05,-9.20965665744734,-9.21035874219297,0.87094192622534,1.8551622300925e-06,0.00496548452569932
0.074,-1.07626745078648e-05,-9.20966622546017,-9.21035867196564,-1.12727935590029e-05,-9.20965665656042,-9.21035874565255,0.870944385148037,1.85520112714568e-06,0.00496538998765442
0.075,-1.07485729414511e-05,-9.20966622334316,-9.21035867478066,-1.126006518129e-05,-9.20965665565854,-9.21035874916071,0.870946879313116,1.85524058317625e-06,0.00496529409464924
0.076,-1.07342690430546e-05,-9.20966622119598,-9.21035867763608,-1.12471527403402e-05,-9.20965665474161,-9.21035875271749,0.870949408791575,1.85528059937099e-06,0.00496519684395421
0.077,-1.07197622926513e-05,-9.20966621901858,-9.21035868053199,-1.12340557100465e-05,-9.20965665380949,-9.21035875632297,0.870951973655265,1.85532117693124e-06,0.00496509823280699
0.078,-1.07050521655492e-05,-9.20966621681089,-9.21035868346849,-1.12207735571968e-05,-9.2096566528621,-9.2103587599772,0.870954573976883,1.85536231707284e-06,0.00496499825841255
0.079,-1.06901381293472e-05,-9.20966621457285,-9.21035868644571,-1.12073057423057e-05,-9.2096566518993,-9.21035876368024,0.870957209829976,1.85540402102611e-06,0.00496489691794341
0.08,-1.06750196460566e-05,-9.20966621230441,-9.21035868946374,-1.11936517184774e-05,-9.20965665092099,-9.21035876743215,0.870959881288928,1.85544629003574e-06,0.00496479420853972
0.081,-1.06596961699637e-05,-9.20966621000549,-9.21035869252268,-1.11798109325989e-05,-9.20965664992702,-9.21035877123299,0.870962588428963,1.85548912536086e-06,0.00496469012730946
0.082,-1.06441671486053e-05,-9.20966620767602,-9.21035869562266,-1.11657828244238e-05,-9.20965664891731,-9.21035877508285,0.870965331326135,1.85553252827486e-06,0.0049645846713286
0.083,-1.06284320238791e-05,-9.20966620531597,-9.21035869876379,-1.11515668270168e-05,-9.20965664789173,-9.21035877898177,0.870968110057329,1.85557650006531e-06,0.00496447783764127
0.084,-1.06124902315319e-05,-9.20966620292523,-9.21035870194617,-1.11371623666978e-05,-9.20965664685014,-9.21035878292981,0.870970924700251,1.85562104203404e-06,0.00496436962325991
0.085,-1.05963411985551e-05,-9.20966620050373,-9.21035870516992,-1.11225688630701e-05,-9.20965664579242,-9.21035878692705,0.870973775333431,1.85566615549701e-06,0.00496426002516543
0.086,-1.05799843472442e-05,-9.20966619805143,-9.21035870843516,-1.11077857288255e-05,-9.20965664471846,-9.21035879097357,0.870976662036209,1.85571184178419e-06,0.00496414904030745
0.087,-1.05634190921426e-05,-9.20966619556826,-9.21035871174199,-1.10928123701892e-05,-9.20965664362813,-9.21035879506939,0.87097958488874,1.85575810223954e-06,0.00496403666560436
