time,S(t),h(t)
22675.4196140168,1.98459746317125,4.71400822605997
22875.4196140168,1.95947628968687,4.69898390812198
23075.4196140168,1.93449748591685,4.68401328309164
23275.4196140168,1.91432923650127,4.66909569878358
23475.4196140168,1.88961759254882,4.65423052351927
23675.4196140168,1.86504569228725,4.63941714499316
23875.4196140168,1.84061267773743,4.62465496918952
24075.4196140168,1.81631770722373,4.60994341934956
24275.4196140168,1.79215995464513,4.59528193498751
24475.4196140168,1.76813860878917,4.5806699709564
24675.4196140168,1.74425287268795,4.56610699656531
24875.4196140168,1.72050196301322,4.55159249474397
25075.4196140168,1.69688510951162,4.53712596126102
25275.4196140168,1.67340155447552,4.52270690398789
25475.4196140168,1.65005055224879,4.50833484220981
25675.4196140168,1.62683136876732,4.49400930598706
25875.4196140168,1.60374328113035,4.47972983555965
